city,state,address_1,postal_code,classification,reason_for_recall,product_description,product_quantity,status,dt_report_date,dt_termination_date,report_year,report_month,report_day
Kearns,UT,4850 S 5300 W,84118-6383,Class I,Condies Foods is recalling Veggie Cups due to undeclared milk and egg.,"Condies Foods Fresh Fruit, Item Number 40781, UPC  50777222655",166 cases,Terminated,2018-01-31,2018-04-12,2018,1,31
La Crosse,WI,1626 Oak St,54603-2308,Class I,Kwik Trip is recalling Kitchen's Cravings Premium Egg Salad Sandwich on Oat Multigrain Bread because it may contain undeclared fish and shellfish.,"Kitchen's Cravings Egg Salad Sandwich on Oat Multigrain Bread.  Net Wt. 5.5 oz. (156g),  Black bottom clear top plastic clamshell container, UPC 39779-00079   Keep Refrigerated.","4,957 units",Terminated,2018-04-25,2018-08-07,2018,4,25
Brooklyn,NY,4120 2nd Ave,11232-3315,Class I,"Products contain undeclared allergen, specifically egg.","QQ Fish brand Mushroom Fish Ball, 200g","40 cartons; 50-200g packets/carton; total: 2,000 packets",Terminated,2019-09-18,2020-08-04,2019,9,18
Pittsburgh,PA,101 Kappa Dr,15238-2809,Class I,"On 3/20/2015, it was discovered that the labels for Apricot Filled Cookie, served over the counter at retail Eagle and affiliate stores, did not declare the milk allergen. Milk was not included on the labels which state ""contains: egg, wheat, soy.""","Apricot Filled Cookie OTC  Sell By: (all dates up to) 3/23/2015  Net WT. 1 OZ  Contains:Egg, Wheat, Soy  ;   Cookies affected are only sold direct from bakery counter and packaged at time per customer request and packed either in clam shell plastic or wax paper.  ;   Net Weight on label may differ depending on number of cookies a customer requested. Net Weights listed above are for 1 cookie.",Apricot Filled 2731 cookies,Terminated,2015-06-10,2015-08-17,2015,6,10
Austin,TX,601 N Lamar Blvd Ste 300,78703-5424,Class I,Undeclared egg allergen,"Mini Butter Croissant 6 Pack  Ingredients: Wheat Flour (unbleached enriched wheat flour, malted barley flour, niacin, Iron, thiamin mononitrate, riboflavin, ascorbic acid, folic acid), Butter, Water, Sugar, Non Fat Dry Milk, Yeast, Salt, Dough Conditioner (dextrose, wheat flour, soybean oil, ascorbic acid, natural enzymes).  CONTAINS:  MILK, WHEAT, SOY.      NET WT 9.0 oz (0.56 lb)      COUNT/PACKAGES 1 SELL-BY DATE 04/22/2014 TOTAL PRICE $4.99      Dist. by Whole Foods Market 8190 Park Lane, Dallas, TX 75231",251 units,Terminated,2014-10-15,2015-02-02,2014,10,15
Albert Lea,MN,2110 Yh Hanson Ave,56007-3406,Class II,Firm is recalling various Egg Salads and Potato Salads because they may contain undeclared traces of imitation crab meat,"Mrs. Gerry's Deviled Egg Potato Salad, Packaged into the following size containers:    1.  Net Wt. 3 lb. (1.36 kg) UPC 17839-09003,     2.  Net Wt. 5 lb. (2.26 kg), UPC 17839-09005.    3.  Net Wt. 12 lb. (5.45 kg), UPC 17839-09012  Keep Refrigerated.  Manufactured by Mrs. Gerry's, Albert Lea, MN  56007","11,286 lbs.",Terminated,2018-04-25,2019-06-21,2018,4,25
Santa Fe Springs,CA,13409 Orden Dr,90670-6336,Class II,"Some chocolate products imported from Japan do not have the English label for Nutrition facts, ingredients or allergens, which include milk, soy, egg, tree nuts.","CHOCOLATE ALMOND CHOCOLATE MEIJI, 3.1 oz.  Item number 64344    UPC 074410643447 - only on those bars with English labeling.    Distributed by Wismettac Asian Foods, Inc.",142 cases  (10 individual items in inner carton) x 8 / master case,Terminated,2019-06-19,2019-07-05,2019,6,19
South San Francisco,CA,210 El Camino Real,94080-5968,Class I,Potential for nuts and/or nut and egg residue may be present in some of the dark and milk chocolate covered raisins.,"See's Dark  Raisins:    Ingredients: Raisins, Sugar,chocolate, cocoa butter, butter (milk), vanilla, soy lecithin,  Dextrin, Confectionery glaze.  May contain traces of eggs, tree nuts and peanuts.    Sold in Net Wt. 8 oz (227 g) clear plastic packages or purchased by customer at counter in See's Stores.  UPC 7 37666 08305 3    Manufactured by: See's Candy Shops Incorporated  So. San Francisco, CA 04080","4,700 lb.",Terminated,2013-07-03,2013-08-14,2013,7,3
Seattle,WA,619 S Nevada St,98108-1713,Class II,Gourmet Cream Cheese Cinnamon Roll is recalled due to undeclared egg.,"Gourmet Cream Cheese Cinnamon Rolls, packaged in a 16 oz. plastic clam shell container and sold under the Schwartz Brothers Bakery brand. The product UPC is 7 17887 65082 1.    The product is read in parts: ""***GOURMET CREAM CHEESE CINNAMON ROLLS***NET WT. 16 OZ***Produced By Schwartz Brothers Bakery Seattle, WA 98108***Contains Milk, Wheat, Soy.  May Contain Egg, Peanuts, Tree Nuts***"".",106 units,Terminated,2018-04-04,2018-04-12,2018,4,4
City Of Commerce,CA,5200 Sheila Street,90040,Class I,Unified Grocers is recalling Kinnikinnick Pie Crust because it contains undeclared egg allergen.,"Kinnikinnick Foods Pie Crusts, 10.2 oz, Item  code: 21-35265, UPC 6-20133-00600.",5 cases (30 units),Terminated,2013-02-06,2013-03-01,2013,2,6
